Ordinal,Nickname,Year,Make,Model,Car Division,Spec,Region,Country
325,L. Diablo SV '97,1997,Lamborghini,Diablo SV,Exotic GT Classics,Factory,Europe,Italy
326,Ferrari Dino 246,1969,Ferrari,Dino 246 GT,Vintage Exotic GT,Factory,Europe,Italy
327,Mit. Eclipse '95,1995,Mitsubishi,Eclipse GSX,Early Sport Compact,Factory,Asia,Japan
330,Lotus Elan '71,1971,Lotus,Elan Sprint,Vintage Sport Compact,Factory,Europe,U.K.
333,Ferrari Enzo '02,2002,Ferrari,Enzo Ferrari,Exotic GT Classics,Factory,Europe,Italy
335,Lotus Esprit '02,2002,Lotus,Esprit V8,Sport GT Icons,Factory,Europe,U.K.
336,Jag. E-Type,1961,Jaguar,E-type,Vintage Le Mans Sportscars,Factory,Europe,U.K.
338,McL. F1 GT '97,1997,McLaren,F1 GT,Early Factory Racecars,Factory,Europe,U.K.
340,Ferrari F40 '87,1987,Ferrari,F40,Exotic GT Classics,Factory,Europe,Italy
342,Ferrari F50 '95,1995,Ferrari,F50,Exotic GT Classics,Factory,Europe,Italy
343,Nissan Z 432 '69,1969,Nissan,Fairlady Z 432,Vintage Sport Compact,Factory,Asia,Japan
344,Nissan Z '03,2003,Nissan,Fairlady Z,Early Sport Compact,Factory,Asia,Japan
345,Nissan Z '94,1994,Nissan,Fairlady Z Version S Twin Turbo,Sport GT Icons,Factory,Asia,Japan
348,Ford GT '05,2005,Ford,Ford GT,Modern Sport GT,Factory,N. America,U.S.
349,Mit. FTO '98,1998,Mitsubishi,FTO GP Version R,Early Sport Compact,Factory,Asia,Japan
350,Infiniti G35 '03,2003,Infiniti,G35 Coupe,Sport Touring Classics,Factory,N. America,U.S.
353,VW GTI Mk2 '92,1992,Volkswagen,Golf Gti 16v Mk2,Hot Hatch Icons,Factory,Europe,Germany
354,VW Golf R32 '03,2003,Volkswagen,Golf R32 ,Modern Hot Hatch,Factory,Europe,Germany
357,Mit. GTO '97,1997,Mitsubishi,GTO,Early Sport Compact,Factory,Asia,Japan
358,Ferrari 288 GTO,1984,Ferrari,288 GTO,Sport GT Icons,Factory,Europe,Italy
363,SUBARU 22B '98,1998,SUBARU,Impreza 22B-STi Version,Early Sport Compact,Factory,Asia,Japan
364,SUBARU WRX '04,2004,SUBARU,IMPREZA WRX STI,Early Sport Compact,Factory,Asia,Japan
365,SUBARU WRX '05,2005,SUBARU,IMPREZA WRX STi,Modern Sport Compact,Factory,Asia,Japan
368,Acura ITR '01,2001,Acura,Integra Type R,Early Sport Compact,Factory,N. America,U.S.
374,Mit. Evo IX '06,2006,Mitsubishi,Lancer Evolution IX MR,Modern Sport Compact,Factory,Asia,Japan
375,Mit. Evo VI '99,1999,Mitsubishi,Lancer Evolution VI GSR,Early Sport Compact,Factory,Asia,Japan
378,Mit. Evo VIII 04,2004,Mitsubishi,Lancer Evolution VIII MR,Early Sport Compact,Factory,Asia,Japan
382,BMW M3 '97,1997,BMW,M3,Sport Touring Classics,Factory,Europe,Germany
383,BMW M3 '05,2005,BMW,M3,Sport Touring Classics,Factory,Europe,Germany
391,Mas. MC12 '04,2004,Maserati,MC12,Exotic GT Classics,Factory,Europe,Italy
397,Vauxhall Monaro,2005,Vauxhall,Monaro VXR,Modern Muscle,Factory,Europe,U.K.
398,Toyota MR2 '95,1995,Toyota,MR2 GT,Early Sport Compact,Factory,Asia,Japan
405,Ford Cobra R '00,2000,Ford,SVT Cobra R,Sport Touring Classics,Factory,N. America,U.S.
411,Honda NSX-R '05,2005,Honda,NSX-R,Sport GT Icons,Factory,Asia,Japan
412,Honda NSX-R '92,1992,Honda,NSX-R,Sport GT Icons,Factory,Asia,Japan
417,Buick GSX '70,1970,Buick,GSX,Street Drag Racers,Factory,N. America,U.S.
419,Audi RS 4 '06,2006,Audi,RS 4,Sport Touring Classics,Factory,Europe,Germany
420,Audi RS 6 '03,2003,Audi,RS 6,Sport Touring Classics,Factory,Europe,Germany
422,Acura RSX,2002,Acura,RSX Type-S,Retro Hot Hatch,Factory,N. America,U.S.
423,Mazda RX-7 '90,1990,Mazda,Savanna RX-7,Early Sport Compact,Factory,Asia,Japan
424,Mazda RX-7 '97,1997,Mazda,RX-7,Early Sport Compact,Factory,Asia,Japan
425,Mazda RX-7 '02,2002,Mazda,RX-7 Spirit R Type-A,Early Sport Compact,Factory,Asia,Japan
428,Audi S4 '04,2004,Audi,S4,Sport Touring Classics,Factory,Europe,Germany
432,Saleen S7 '04,2004,Saleen,S7,Exotic GT Classics,Factory,N. America,U.S.
433,TVR Sagaris,2005,TVR,Sagaris,Retro Sports Cars,Factory,Europe,U.K.
439,Nissan Silvia 92,1992,Nissan,Silvia CLUB K's,Early Sport Compact,Factory,Asia,Japan
440,Nissan Silvia 94,1994,Nissan,Silvia K's,Early Sport Compact,Factory,Asia,Japan
441,Nissan Silvia 0,2000,Nissan,Silvia Spec-R,Early Sport Compact,Factory,Asia,Japan
444,Nissan GT-R '93,1993,Nissan,Skyline GT-R V-Spec,Sport GT Icons,Factory,Asia,Japan
445,Nissan GT-R '02,2002,Nissan,Skyline GT-R V-Spec II,Sport GT Icons,Factory,Asia,Japan
453,Ren. Clio '03,2003,Renault,Sport Clio V6,Modern Hot Hatch,Factory,Europe,France
455,Toyota AE86 '85,1985,Toyota,Sprinter Trueno GT Apex,Hot Hatch Icons,Factory,Asia,Japan
457,Dodge Stealth 96,1996,Dodge,Stealth R/T Turbo,Early Sport Compact,Factory,N. America,U.S.
460,Toyota Supra '92,1992,Toyota,Supra 2.0 GT,Early Sport Compact,Factory,Asia,Japan
461,Toyota Supra '98,1998,Toyota,Supra RZ,Sport GT Icons,Factory,Asia,Japan
462,Eagle Talon,1998,Eagle,Talon TSi Turbo,Early Sport Compact,Factory,N. America,U.S.
479,AM Vanquish '01,2001,Aston Martin,V12 Vanquish,Exotic GT Classics,Factory,Europe,U.K.
483,Dodge Viper '99,1999,Dodge,Viper GTS ACR,Sport GT Icons,Factory,N. America,U.S.
489,Jag. XJ220 '93,1993,Jaguar,XJ220,Exotic GT Classics,Factory,Europe,U.K.
498,Bentley #7 Spd 8,2003,Bentley,#7 Team Bentley Speed 8,Early LMP,Race,Europe,U.K.
505,BMW #15 V12 LMR,1999,BMW,#15 BMW Motorsport V12 LMR,Early LMP,Race,Europe,Germany
513,Dodge Charger 69,1969,Dodge,Charger R/T,Vintage Muscle,Factory,N. America,U.S.
524,Ferrari #12 F333,1998,Ferrari,#12 Risi Competizione F333 SP,Early LMP,Race,Europe,Italy
540,Porsche #17 962C,1987,Porsche,#17 Porsche AG 962c,GTP/C,Race,Europe,Germany
550,Peugeot #3 905C,1993,Peugeot,#3 Peugeot Talbot Sport 905 EVO 1C,GTP/C,Race,Europe,France
555,Toyota #3 TS020,1999,Toyota,#3 Toyota Motorsports GT-ONE TS020,Early LMP,Race,Asia,Japan
565,BMW M3 '02,2002,BMW,M3-GTR,Sport Touring Classics,Factory,Europe,Germany
567,Nissan R390 '98,1998,Nissan,R390 (GT1),Exotic GT Classics,Factory,Asia,Japan
568,MB CLK GTR '98,1998,Mercedes-Benz,AMG CLK GTR,Early Factory Racecars,Factory,Europe,Germany
633,Audi quattro '84,1984,Audi,Sport quattro,Sport Touring Classics,Factory,Europe,Germany
634,Ren. 5 Turbo '80,1980,Renault,5 Turbo,Hot Hatch Icons,Factory,Europe,France
637,L. Miura '67,1967,Lamborghini,Miura P400,Vintage Exotic GT,Factory,Europe,Italy
639,D. Challenger 70,1970,Dodge,Challenger R/T,Street Drag Racers,Factory,N. America,U.S.
641,P. 911 GT1 '97,1997,Porsche,911 GT1 Strassenversion,Early Factory Racecars,Factory,Europe,Germany
642,BMW M3 '91,1991,BMW,M3,Sport Touring Classics,Factory,Europe,Germany
1005,Pontiac T/A '73,1973,Pontiac,Firebird Trans Am SD-455,Vintage Muscle,Factory,N. America,U.S.
1009,Mit. Evo X '08,2008,Mitsubishi,Lancer Evolution X GSR,Modern Sport Compact,Factory,Asia,Japan
1011,BMW M3 '08,2008,BMW,M3,Modern Sport Touring,Factory,Europe,Germany
1020,Ferrari F50 GT,1996,Ferrari,F50 GT,Early Factory Racecars,Race,Europe,Italy
1022,Ferrari 430 S,2007,Ferrari,430 Scuderia,Modern Sport GT,Factory,Europe,Italy
1023,Ferrari F40 Comp,1989,Ferrari,F40 Competizione,Early Factory Racecars,Race,Europe,Italy
1032,Alfa Romeo 8C,2007,Alfa Romeo,8C Competizione,GT Cars,Factory,Europe,Italy
1033,Chev. Camaro '90,1990,Chevrolet,Camaro IROC-Z,Sport Touring Classics,Factory,N. America,U.S.
1034,Toyota Celica 94,1994,Toyota,Celica GT-Four ST205,Early Sport Compact,Factory,Asia,Japan
1040,BMW M1 '81,1981,BMW,M1,Sport GT Icons,Factory,Europe,Germany
1041,Ford Cobra R '93,1993,Ford,SVT Cobra R,Sport Touring Classics,Factory,N. America,U.S.
1042,Nissan GT-R '71,1971,Nissan,Skyline 2000GT-R,Vintage Sport Compact,Factory,Asia,Japan
1043,Nissan GT-R '97,1997,Nissan,Skyline GT-R V-Spec,Sport GT Icons,Factory,Asia,Japan
1045,Pontiac T/A '87,1987,Pontiac,Firebird Trans Am GTA,Sport Touring Classics,Factory,N. America,U.S.
1046,Dodge Viper '08,2008,Dodge,Viper SRT10 ACR,Modern Sport GT,Factory,N. America,U.S.
1059,BMW Z4 '08,2008,BMW,Z4 M Coupe,Modern Sports Cars,Factory,Europe,Germany
1060,SUBARU WRX '08,2008,SUBARU,IMPREZA WRX STI,Modern Sport Compact,Factory,Asia,Japan
1063,Charger Daytona,1969,Dodge,Charger Daytona HEMI,Vintage Muscle,Factory,N. America,U.S.
1064,Chevy Camaro '79,1979,Chevrolet,Camaro Z28,Classic Muscle,Factory,N. America,U.S.
1065,Pontiac T/A '02,2002,Pontiac,Firebird Trans Am Ram Air,Sport Touring Classics,Factory,N. America,U.S.
1069,Chev. C6 ZR1 '09,2009,Chevrolet,Corvette ZR1,Modern Sport GT,Factory,N. America,U.S.
1081,AM DBS '08,2008,Aston Martin,DBS,Modern Sport GT,Factory,Europe,U.K.
1086,Ford Focus '09,2009,Ford,Focus RS,Modern Hot Hatch,Factory,N. America,U.S.
1090,MB SL 65 '09,2009,Mercedes-Benz,SL 65 AMG Black Series,Modern Sport GT,Factory,Europe,Germany
1093,Corvette '60,1960,Chevrolet,Corvette,Classic Sports Cars,Factory,N. America,U.S.
1104,Datsun 510 '70,1970,Datsun,510,Vintage Sport Compact,Factory,Asia,Japan
1105,AM DB5 '64,1964,Aston Martin,DB5,Sport Coupe Icons,Factory,Europe,U.K.
1110,Mazda MX-5 '94,1994,Mazda,MX-5 Miata,Early Sport Compact,Factory,Asia,Japan
1117,,2010,Audi,R8 Coupé 5.2 FSI Quattro,Modern Sport GT,Factory,Europe,Germany
1124,Abarth 131,1980,Abarth,Fiat 131,Classic Rally,Factory,Europe,Italy
1125,Lambo Revénton,2008,Lamborghini,Revénton,Modern Exotic GT,Factory,Europe,Italy
1126,,2009,BMW,M5,Modern Sport Touring,Factory,Europe,Germany
1130,McLaren 12C,2011,McLaren,12C Coupe,Modern Super Cars,Factory,Europe,U.K.
1131,Ferrari 458,2009,Ferrari,458 Italia,Modern Sport GT,Factory,Europe,Italy
1150,AR GTA '65,1965,Alfa Romeo,Giulia Sprint GTA Stradale,Vintage Sport Compact,Factory,Europe,Italy
1154,Ferrari 250 TR,1957,Ferrari,250 Testa Rossa,Vintage Le Mans Sportscars,Factory,Europe,Italy
1155,Shelby Daytona,1965,Shelby,Cobra Daytona Coupe,Vintage Le Mans Sportscars,Factory,N. America,U.S.
1171,Ferrari 599XX,2010,Ferrari,599XX,Modern Factory Racecars,Race,Europe,Italy
1173,Lambo Murcielago,2010,Lamborghini,Murciélago LP 670-4 SV,Modern Exotic GT,Factory,Europe,Italy
1181,AM One-77,2010,Aston Martin,One-77,Super GT,Factory,Europe,U.K.
1184,Audi RS 6 '09,2009,Audi,RS 6,Super Saloons,Factory,Europe,Germany
1202,MB SLS AMG '11,2011,Mercedes-Benz,SLS AMG,Modern Sport GT,Factory,Europe,Germany
1216,Audi RS 3 '11,2011,Audi,RS 3 Sportback,Modern Hot Hatch,Factory,Europe,Germany
1217,BMW M6 '10,2010,BMW,M6 Coupé,Sport Luxury,Factory,Europe,Germany
1219,Bugatti EB110 92,1992,Bugatti,EB110 Super Sport,Exotic GT Classics,Factory,Europe,France
1220,Audi TT RS,2010,Audi,TT RS Coupe,Modern Sports Cars,Factory,Europe,Germany
1229,,2008,Mazda,Furai,Modern Factory Racecars,Factory,Asia,Japan
1231,VW Golf '10,2010,Volkswagen,Golf R,Super Hot Hatch,Factory,Europe,Germany
1260,Lexus LFA '10,2010,Lexus,LFA,Modern Sport GT,Factory,N. America,U.S.
1267,AMC Javelin '71,1971,AMC,Javelin AMX,Vintage Muscle,Factory,N. America,U.S.
1268,BMW Z3 '02,2002,BMW,Z3 M Coupé,Early Sport Compact,Factory,Europe,Germany
1269,BMW 2002 '73,1973,BMW,2002 Turbo,Vintage Sport Compact,Factory,Europe,Germany
1272,Ford Escort '92,1992,Ford,Escort RS Cosworth,Hot Hatch Icons,Factory,N. America,U.S.
1273,Honda Civic '97,1997,Honda,Civic Type R,Hot Hatch Icons,Factory,Asia,Japan
1277,Plymouth Cuda 71,1971,Plymouth,Cuda 426 HEMI,Vintage Muscle,Factory,N. America,U.S.
1278,Ford Falcon '73,1973,Ford,XB Falcon GT,Vintage Muscle,Factory,N. America,U.S.
1280,Mercury Cougar,1970,Mercury,Cougar Eliminator,Vintage Muscle,Factory,N. America,U.S.
1281,P. 550 S '55,1955,Porsche,550 Spyder,Sport Coupe Icons,Factory,Europe,Germany
1282,Nissan 240SX '93,1993,Nissan,240SX SE,Early Sport Compact,Factory,Asia,Japan
1290,,1986,BMW,M635 CSi,Sport Touring Classics,Factory,Europe,Germany
1291,Chevy El Camino,1970,Chevrolet,El Camino Super Sport 454,Vans & Utility,Factory,N. America,U.S.
1292,Dodge Shelby '86,1986,Dodge,Shelby Omni GLHS,Hot Hatch Icons,Factory,N. America,U.S.
1293,Ford Sierra '87,1987,Ford,Sierra Cosworth RS500,Sport Touring Classics,Factory,N. America,U.S.
1296,MB 190E '90,1990,Mercedes-Benz,190E 2.5-16 Evolution II,Sport Touring Classics,Factory,Europe,Germany
1299,Volvo 242 Turbo,1983,Volvo,242 Turbo Evolution,Classic Rally,Factory,Europe,Sweden
1300,Chevy Impala,1964,Chevrolet,Impala Super Sport 409,Rods and Customs,Factory,N. America,U.S.
1301,Jag. D-Type,1956,Jaguar,D-Type,Vintage Le Mans Sportscars,Race,Europe,U.K.
1302,Ford Escort '77,1977,Ford,Escort RS1800,Vintage Sport Compact,Factory,N. America,U.S.
1306,Dodge SRT-4 '05,2005,Dodge,SRT-4 ACR,Early Sport Compact,Factory,N. America,U.S.
1309,Pontiac GTO '69,1969,Pontiac,GTO Judge,Street Drag Racers,Factory,N. America,U.S.
1314,McL. F1 '93,1993,McLaren,F1,Exotic GT Classics,Factory,Europe,U.K.
1317,Chev. #55 09,2010,Chevrolet,#55 Level 5 Motorsports Oreca FLM09,Forza P2,Race,N. America,U.S.
1322,L. Gallardo '11,2011,Lamborghini,Gallardo LP 570-4 Superleggera,Modern Sport GT,Factory,Europe,Italy
1323,SUBARU WRX '11,2011,SUBARU,WRX STI ,Modern Sport Compact,Factory,Asia,Japan
1325,AR Giulietta 11,2011,Alfa Romeo,Giulietta Quadrifoglio Verde,Modern Hot Hatch,Factory,Europe,Italy
1328,Bugatti Veyron,2011,Bugatti,Veyron Super Sport,Modern Hypercars,Factory,Europe,France
1329,Buick GNX '87,1987,Buick,Regal GNX,Sport Touring Classics,Factory,N. America,U.S.
1330,Chev. Camaro '70,1970,Chevrolet,Camaro Z28,Vintage Muscle,Factory,N. America,U.S.
1331,Plymouth GTX '71,1971,Plymouth,GTX 426 HEMI,Street Drag Racers,Factory,N. America,U.S.
1335,Mazda #55 787B,1991,Mazda,#55 Mazda 787B,GTP/C,Race,Asia,Japan
1336,Olds 442 '69,1969,Oldsmobile,Hurst/Olds 442,Street Drag Racers,Factory,N. America,U.S.
1337,Pontiac T/A '69,1969,Pontiac,Firebird Trans Am,Vintage Muscle,Factory,N. America,U.S.
1348,Peugeot 308 '11,2011,Peugeot,308 GTI,Modern Hot Hatch,Factory,Europe,France
1350,BMW X5 M,2011,BMW,X5 M,Sports Utility Heroes,Factory,Europe,Germany
1352,Dodge Coronet 70,1970,Dodge,Coronet Super Bee,Street Drag Racers,Factory,N. America,U.S.
1354,Chevy Nova '66,1966,Chevrolet,Nova Super Sport,Classic Muscle,Factory,N. America,U.S.
1355,Ford Mustang '65,1965,Ford,Mustang GT Coupe,Vintage Muscle,Factory,N. America,U.S.
1367,,2003,BMW,M5,Sport Touring Classics,Factory,Europe,Germany
1368,BMW M5 '88,1988,BMW,M5,Sport Touring Classics,Factory,Europe,Germany
1369,Pagani Zonda C,2009,Pagani,Zonda Cinque Roadster,Modern Hypercars,Factory,Europe,Italy
1370,Audi RS2 '95,1995,Audi,Avant RS 2,Sport Touring Classics,Factory,Europe,Germany
1372,Bentley 8 Litre,1930,Bentley,8 Litre,Rare Classics,Factory,Europe,U.K.
1379,Chevy Impala '96,1996,Chevrolet,Impala Super Sport,Retro Muscle,Factory,N. America,U.S.
1380,VW Scirocco '81,1981,Volkswagen,Scirocco S,Hot Hatch Icons,Factory,Europe,Germany
1381,Mit. Galant '92,1992,Mitsubishi,Galant VR-4,Early Sport Compact,Factory,Asia,Japan
1382,SUBARU LEGACY 90,1990,SUBARU,LEGACY RS,Early Sport Compact,Factory,Asia,Japan
1383,VW GTI Mk3 '98,1998,Volkswagen,Gti VR6 Mk3,Hot Hatch Icons,Factory,Europe,Germany
1385,BMW 1M,2011,BMW,1 Series M Coupé,Modern Sport Coupe,Factory,Europe,Germany
1386,AM DBR1,1958,Aston Martin,DBR1,Vintage Le Mans Sportscars,Factory,Europe,U.K.
1387,Volvo 850 R '97,1997,Volvo,850 R,Sport Touring Classics,Factory,Europe,Sweden
1388,BMW M5 '12,2012,BMW,M5,Modern Sport Touring,Factory,Europe,Germany
1392,Lambo Sesto,2011,Lamborghini,Sesto Elemento,Modern Sport GT,Race,Europe,Italy
1393,Alfa Romeo 155,1992,Alfa Romeo,155 Q4 ,Retro Saloons,Factory,Europe,Italy
1395,Toyota MR2 '89,1989,Toyota,MR2 SC,Early Sport Compact,Factory,Asia,Japan
1396,HSV GTS,2011,HSV,GTS,Modern Sport Touring,Factory,Europe,Australia
1403,Mazda #16 B09/86,2010,Mazda,#16 Mazda Racing B09/86,Forza P2,Race,Asia,Japan
1417,Audi RS 5,2011,Audi,RS 5 Coupe,Super Saloons,Factory,Europe,Germany
1418,BMW M5 '95,1995,BMW,M5,Retro Saloons,Factory,Europe,Germany
1426,Mazda RX-8 '11,2011,Mazda,RX-8 R3,Modern Sport Compact,Factory,Asia,Japan
1427,Pagani Huayra,2012,Pagani,Huayra,Hypercars,Factory,Europe,Italy
1428,VW Scirocco '11,2011,Volkswagen,Scirocco R,Hot Hatch,Factory,Europe,Germany
1429,Chev. Nova '69,1969,Chevrolet,Nova Super Sport 396,Street Drag Racers,Factory,N. America,U.S.
1435,VW Beetle,1963,Volkswagen,Beetle,Cult Cars,Factory,Europe,Germany
1440,#62 F458 GTC,2011,Ferrari,#62 Risi Competizione F458 Italia GTC,Forza GT3,Race,Europe,Italy
1451,Ascari KZ1R,2012,Ascari,KZ1R,Modern Supercars,Race,Europe,U.K.
1457,McLaren #4 M8B,1969,McLaren,#4 McLaren Cars M8B,Prototype Group Racing,Race,Europe,U.K.
1459,Chevy Bel Air,1957,Chevrolet,Bel Air,Rods and Customs,Factory,N. America,U.S.
1462,Mas. 300 S,1957,Maserati,300 S,Vintage Le Mans Sportscars,Factory,Europe,Italy
1478,#2 Audi S1,1986,Audi,#2 Audi Sport quattro S1,Rally Monsters,Race,Europe,Germany
1480,Mazda RX-7 '85,1985,Mazda,RX-7 GSL-SE,Early Sport Compact,Factory,Asia,Japan
1481,Austin 3000 '65,1965,Austin-Healey,3000 MkIII,Sport Coupe Icons,Factory,Europe,U.K.
1482,AMC Gremlin,1973,AMC,Gremlin X,Cult Cars,Factory,N. America,U.S.
1486,Ford Cortina '66,1966,Ford,Lotus Cortina,Vintage Sport Compact,Factory,N. America,U.S.
1487,MG MGA '58,1958,MG,MGA Twin-Cam,Sport Coupe Icons,Factory,Europe,U.K.
1490,Vaux Astra '12,2012,Vauxhall,Astra VXR,Modern Hot Hatch,Factory,Europe,U.K.
1493,BMW 850CSi '95,1995,BMW,850CSi,Sport GT Icons,Factory,Europe,Germany
1500,MB C 63 '12,2012,Mercedes-Benz,C 63 AMG Coupé Black Series,Modern Sport Touring,Factory,Europe,Germany
1510,Ford Cobra R '95,1995,Ford,SVT Cobra R,Sport Touring Classics,Factory,N. America,U.S.
1511,Holden Monaro 68,1968,Holden,Monaro GTS 327,Street Drag Racers,Factory,Asia,Australia
1513,Mas. Ghibli '97,1997,Maserati,Ghibli Cup,Sport Touring Classics,Factory,Europe,Italy
1514,Mazda RX-3 '73,1973,Mazda,RX-3,Vintage Sport Compact,Factory,Asia,Japan
1517,Toyota Celica 92,1992,Toyota,Celica GT-Four RC ST185,Early Sport Compact,Factory,Asia,Japan
1519,AM Vantage '98,1998,Aston Martin,V8 Vantage V600,Sport GT Icons,Factory,Europe,U.K.
1524,Mas. Tipo 61,1961,Maserati,Tipo 61 Birdcage,Vintage Le Mans Sportscars,Race,Europe,Italy
1525,MB SLK 55 '12,2012,Mercedes-Benz,SLK 55 AMG,Modern Sport Coupe,Factory,Europe,Germany
1533,Holden Torana 77,1977,Holden,Torana A9X,Vintage Sport Compact,Factory,Asia,Australia
1535,Lexus GS350 '13,2013,Lexus,GS350 F Sport,Sport Luxury,Factory,N. America,U.S.
1536,Renault A110,1973,Alpine,A110 1600s,Classic Rally,Factory,Europe,France
1537,Toyota Corolla74,1974,Toyota,Corolla SR5,Vintage Sport Compact,Factory,Asia,Japan
1539,P. 911 GT2 RS 12,2012,Porsche,911 GT2 RS,Modern Sport GT,Factory,Europe,Germany
1549,Alfa Romeo 33S,1968,Alfa Romeo,33 Stradale,Classic Racers,Factory,Europe,Italy
1550,AM DB4 GT,1960,Aston Martin,DB4 GT Zagato,Vintage Le Mans Sportscars,Factory,Europe,U.K.
1551,AM #18 AMR1,1989,Aston Martin,#18 Aston Martin AMR1,GTP/C,Race,Europe,U.K.
1553,Chaparral #66 2E,1966,Chaparral,#66 Chaparral Cars 2E,Prototype Group Racing,Race,N. America,U.S.
1559,MB 300 SLR,1955,Mercedes-Benz,300 SLR,Vintage Le Mans Sportscars,Factory,Europe,Germany
1560,MB #63 C9,1989,Mercedes-Benz,#63 Sauber-Mercedes C 9,GTP/C,Race,Europe,Germany
1562,SRT Viper '13,2013,SRT,Viper GTS,Modern Sport GT,Factory,N. America,U.S.
1564,Corvette '53,1953,Chevrolet,Corvette,Classic Sports Cars,Factory,N. America,U.S.
1572,AMC Rebel '70,1970,AMC,"Rebel ""The Machine""",Street Drag Racers,Factory,N. America,U.S.
1573,Audi #4 90 GTO,1989,Audi,#4 Audi 90 quattro IMSA GTO,GTX Sportscars,Race,Europe,Germany
1574,Sprite MKI,1958,Austin-Healey,Sprite MkI,Classic Sports Cars,Factory,Europe,U.K.
1575,Chev. MC '88,1988,Chevrolet,Monte Carlo Super Sport,Sport Touring Classics,Factory,N. America,U.S.
1578,Ferrari 250 GT,1962,Ferrari,250 GT Berlinetta Lusso,Sport Coupe Icons,Factory,Europe,Italy
1580,Ford Escort '73,1973,Ford,Escort RS1600,Vintage Sport Compact,Factory,N. America,U.S.
1583,L. Aventador '12,2012,Lamborghini,Aventador J,Modern Exotic GT,Factory,Europe,Italy
1587,Mazda Cosmo '72,1972,Mazda,Cosmo 110S Series II,Sport Coupe Icons,Factory,Asia,Japan
1589,MG MGB '66,1966,MG,MGB GT,Vintage Sport Compact,Factory,Europe,U.K.
1591,Peugeot 205 '84,1984,Peugeot,205 Turbo 16,Hot Hatch Icons,Factory,Europe,France
